molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL5188373,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,81,active,701.603,5.60952,2,11,81,7.091514981
CHEMBL5405484,CN1C(=O)[C@](O)(C#Cc2cccc(-n3nc(C(N)=O)c4cccnc43)c2)[C@H]2C[C@H]21,210,active,387.399,0.4625,2,6,210,6.677780705
CHEMBL4209095,CN1CC[C@@](O)(C#Cc2cccc(-n3nc(C(N)=O)c4cccnc43)c2)C1=O,300,active,375.388,0.4641,2,6,300,6.522878745
CHEMBL4211840,COc1cc(C(N)=O)nc(-c2cccc(C#C[C@]3(O)CCN(C)C3=O)c2)c1,220,active,365.389,0.8008,2,5,220,6.657577319
CHEMBL4570122,CC1(C)C(N)=Nc2cc(OCCCN3Cc4ccc(OCCc5cn(CCC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21,59,active,753.005,5.8676,1,11,59,7.229147988
CHEMBL4573889,CC1(C)C(N)=Nc2cc(OCCCN3Cc4ccc(OCc5cn(CCC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21,48,active,738.978,5.8251,1,11,48,7.318758763
CHEMBL4451634,CC1(C)C(N)=Nc2cc(OCCCN3Cc4ccc(OCCc5cn(CC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21,33,active,738.978,5.4775,1,11,33,7.48148606
CHEMBL4577068,CC1(C)C(N)=Nc2cc(OCCCN3Cc4ccc(OCc5cn(CC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21,152,active,724.951,5.435,1,11,152,6.818156412
CHEMBL4528213,CC1(C)C(N)=Nc2cc(OCCCN3Cc4ccccc4C3)c(OCC3CC3)cc21,360,active,405.542,4.54,1,5,360,6.443697499
CHEMBL4476309,NC1=Nc2cc(OCCCN3Cc4ccccc4C3)c(OCC3CC3)cc2C12CCCC2,390,active,431.58,5.0742,1,5,390,6.408935393
CHEMBL4591023,COc1ccc2c(c1)CN(CCCOc1cc3c(cc1OCC1CC1)C1(CCCC1)C(N)=N3)C2,340,active,461.606,5.0828,1,6,340,6.468521083
CHEMBL4518756,COc1ccc2c(c1)CN(CCCOc1cc3c(cc1OC)C1(CCCC1)C(N)=N3)C2,600,active,421.541,4.3026,1,6,600,6.22184875
CHEMBL4569420,COc1cc2c(cc1OCCCN1Cc3ccccc3C1)N=C(N)C21CCCC1,660,active,391.515,4.294,1,5,660,6.180456064
CHEMBL4458252,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,760,active,343.471,3.374,1,5,760,6.119186408
CHEMBL4588285,COc1c(CN)cc(CN)cc1OCCCN1CCCC1,741,active,293.411,1.4773,2,5,741,6.130181792
CHEMBL4552020,COc1c(CN)cc(CN)cc1OCCCN1Cc2ccccc2C1,243,active,341.455,2.3973,2,5,243,6.614393726
CHEMBL148141,CN(C)CCN1C(=O)c2cccc3cc4c([N+](=O)[O-])cccc4c(c23)C1=O,7.3,active,363.373,3.0588,0,5,7.3,8.13667714
CHEMBL149619,CC(=O)Nc1cccc2c3c4c(cccc4cc12)C(=O)N(CCN(C)C)C3=O,5.7,active,375.428,3.109,1,4,5.7,8.244125144
CHEMBL146101,CN(C)CCN1C(=O)c2cccc3cc4ccc(N)cc4c(c23)C1=O,7.7,active,333.391,2.7328,1,4,7.7,8.113509275
